ASN,Organization
2,University of Delaware
3,Massachusetts Institute of Technology
4,University of Southern California - AS4
8,Rice University
9,Carnegie Mellon University
12,New York University
14,Columbia University
17,PURDUE
18,UTEXAS
20,University of Rochester
25,UCB
26,Cornell
27,UMDNET
31,California Institute of Technology
32,Stanford University
34,University of Delaware
38,UIUC
46,Rutgers University
47,University of Southern California - AS47
52,University of California Los Angeles
55,UPENN
59,University of Wisconsin - Madison
73,University of Washington
87,Indiana University
88,Princeton University
98,The Rockefeller University
103,Northwestern University
104,University of Colorado at Boulder
111,Boston University
131,University of California Santa Barbara
137,GARR
156,Northeastern University
159,Ohio State University
160,University of Chicago
167,Wesleyan University
194,University Corporation for Atmospheric Research
205,Montclair State University
217,UMN System Network
231,Michigan State University
239,University of Toronto
299,UCI
302,Baylor College of Medicine CHAT
378,Israel InterUniversity Computation Center
553,BelWü
557,University of Maine System
679,Technische Universitat Wien
680,DFN Deutsches Forschungsnetz e.V.
760,Vienna University Computer Center
786,Janet
802,York University
823,University of Western Ontario
1109,Universitaet Salzburg
1110,University of Innsbruck
1111,Universitaet Klagenfurt
1113,Technische Universitaet Graz
1114,Universitaet Graz
1117,Universitaet fur Bodenkultur Wien
1133,University Twente
1201,Old Dominion University
1205,University Linz
1224,National Center for Supercomputing Applications
1249,University of Massachusetts - AMHERST
1252,University of Nebraska Medical Center
1307,Renater
1312,Virginia Polytechnic Institute and State Univ.
1638,Mott Community College - Main Campus
1659,Taiwan Academic Network(TANet)
1706,The University of Arizona
1736,Marquette University
1742,Harvard University
1776,WU (Wirtschaftsuniversitaet Wien) - Vienna University of Economics and Business
1851,The University of Adelaide
1853,ACOnet
1926,Tampere University Foundation
1967,Middle East Technical University
1970,Texas A&M University
2025,University of Toledo
2055,Louisiana State University
2108,CARNet
2269,Renater
2496,University of Kansas
2501,UTnet
2508,kyushu-u
2547,Budapest University of Technology and Economics
2552,WUSTL
2561,Egyptian Universities Network (EUN)
2592,Ege University
2637,Georgia Institute of Technology
2698,Iowa State University
2833,Umea University
2834,Uppsala University
2841,Chalmers University of Technology
2846,Lund University
2850,University College Dublin
2857,Johannes Gutenberg-Universitaet Mainz
2900,Arizona Tri University Network
3128,University of Wisconsin System
3208,Algerian Academic Research Network
3255,UARNet
3268,University of Cyprus
3323,National Technical University of Athens
3363,Hong Kong University of Science and Technology
3390,University of Missouri - Kansas City
3450,University of Tennessee Knoxville
3452,University of Alabama at Birmingham
3479,PeachNet AS3479
3480,PeachNet AS3480
3582,University of Oregon
3586,University of the West Indies
3603,University de Los Andes
3659,Claremont University Consortium
3661,The Chinese University of Hong Kong AS 3661
3676,University of Iowa
3681,Florida International University
3685,State University of New York at Buffalo
3777,Haverford College
3778,Temple University
3784,Pohang University of Science and Technology
3794,Texas A&M University
3807,University of Montana
3813,Sogang University
3836,Thai Social/Scientific Academic and Research Network
3839,Chulalongkorn University
3935,Eastern Washington University
3999,Pennsylvania State University
4130,University of Pittsburgh
4158,City University of Hong Kong
4201,Oregon State University
4274,Assumption University
4385,Rochester Institute of Technology
4605,Hong Kong Baptist University
4616,The Hong Kong Polytechnic University
4665,Yonsei University
5379,Univerzitet 'Sv. Kiril i Metodij'
5421,Sofia University 'St. Kliment Ohridski'
5468,Yeltsin UrFU Ural Federal University
5479,University Network in Vilnius
5489,International Hellenic University
5520,Universitaet zu Koeln
5538,Institute of Mathematics and Computer Science of University of Latvia
5548,Federal State Budget Educational Establishment of Higher Education 'Russian University Of Transport (MIIT)'
5550,Gdansk University of Technology Academic Computer Center TASK
5627,Shahrood University of Technology
5653,University of California San Francisco
5692,Universidad Nacional de La Plata (UNLP)
5721,National Defense University
5723,Johns Hopkins University
5739,UCSC
5786,University of Puerto Rico
6059,University of Maryland
6106,University of California Riverside
6192,University of California at Davis
6200,University of Illinois Chicago
6356,University of Florida
6360,University of Hawaii
6510,Brigham Young University
6579,Memorial University of Newfoundland
6867,University of Crete
