ASN,Organization
559,SWITCH
834,IPXO LLC
906,DMIT Cloud Infrastructure
917,Misaka.io
965,Webhosting Holdings LLC
984,OWS
1002,Bytefilter LLC
1101,Not SURF Net
1836,green.ch AG
2500,WIDE Project
3223,VOXILITY
3236,SERVER.UA
5626,ONITELECOM - INFOCOMUNICACOES S.A.
6597,Coloblox Data Centers
6698,Virtual Systems AS6698
6724,STRATO AG
6939,Hurricane Electric
7040,Netminders Server Hosting
7162,Scala Data Centers (Upstream AS)
7203,LeaseWeb USA  / SFO-12
7489,HostUS
7506,GMO Internet Inc.
7628,CorpCloud
7979,SERVERS.COM
8075,Microsoft
8100,QuadraNet
8283,Netwerkvereniging ColoClue
8369,Intersvyaz
8477,Echostar Studio Sp. z o.o.
8560,IONOS SE
8646,cloudinfrastack
8972,Host Europe GmbH
9009,M247
9028,OHOST
9063,VSE NET GmbH
9087,Rackdog LLC
9115,Hostopia a HostPapa Inc. company [Europe]
9123,JSC TimeWeb
9186,OniTelecom
9287,True Internet Data Center Thailand
9294,GNET INC.
9318,SK Broadband
9335,NT(CAT) Data Center
9381,HKBNES
9430,Software Technology Parks of IndiaBlock-IV
9465,AGOTOZ PTE. LTD.
9583,Sify Technologies Limited
9678,HostingInside LTD
9952,Hostway IDC
10439,CARI.net - Fiber Alley Data Centers
10929,eStruxture AS10929
11179,Aryaka Networks
11320,LightEdge Solutions
11426,Charter Communications Inc
11878,TZULO
11989,HostPapa
12025,Iron Mountain Data Centers (fka IO Data Centers)
12342,Brack.ch AG
12389,Rostelecom
12417,Plus Hosting Grupa d.o.o.
12462,Evolutio Cloud Enabler S.A. Unipersonal
12488,Krystal Hosting
12552,GlobalConnect AS12552
12555,IMAQLIQ
12586,GHOSTnet
12601,Cegedim.Cloud SASU
12637,Seeweb
12695,CJSC Digital Network
12722,RECONN
12731,IPHH Internet Port Hamburg GmbH
12824,home.pl S.A.
12876,Scaleway
13030,Init7
13188,Triolan ISP
13213,UK2Group
13335,Cloudflare
13645,365 Data Centers (Host.net)
13737,INCX Global LLC
13768,Aptum Technologies
13830,PureVoltage Hosting (Nexril)
13984,SD Data Center
14061,DigitalOcean
14230,Involta
14315,1GServers
14576,King Servers
14586,Nuclearfallout Enterprises ASN 14586
14618,Amazon AES
14670,hosting.com USE1
14713,Hosted Backbone
14956,RouterHosting LLC
14987,Rethem Hosting LLC
15169,Google LLC
15395,Rackspace Ltd.
15440,Baltnetos Komunikacijos Customers
15589,Retelit S.p.A. (formerly Clouditalia)
15598,NorthC Germany
15703,TrueServer
15830,Equinix as15830
16003,Fornex Hosting - Netherlands
16125,Cherry Servers
16210,WIIT AS16210
16276,OVHcloud
16417,HPS // Cisco Cloud Email Security (CES) / IronPort
16509,Amazon.com
17426,Primenet Global Ltd
17561,LARUS Limited
17621,China Unicom Shanghai Network
17762,Tata Teleservices (Maharastra)
17881,Inet Hosting Inc.
18229,CtrlS Datacenters
18345,Servers Australia Customers
18501,CyberCloud Professionals LLC
18779,Energy Group Networks
19148,LiveWorld Inc
19186,GMCHOSTING
19318,InterServer
19437,SECURED SERVERS LLC
19527,Google LLC AS19527
19853,OrangeHost
19871,Network Solutions LLC
19905,UltraDDoS Protect
19969,Joe's Datacenter
19994,Rackspace Hosting
20068,Hawk Host
