ASN,Organization
209,Lumen AS209
701,Verizon
803,Saskatchewan Telecommunications
852,TELUS Communications
1136,KPN NL
1221,Telstra Corporation Ltd
1257,TELE2
1267,WINDTRE
1299,Arelion (Twelve99)
1640,Thacker-Grigsby Communications
1729,Telia Company AB
1759,Telia Finland
1764,next layer
1820,Wnet Telecom USA
2027,MilkyWan
2119,Telenor (Norway/Sweden)
2585,Optic Telecom LLC
2609,Tunisie Telecom
2731,Horizon Telcom
2840,Stiftelsen Goteborgs Studentbostader
2856,BTnet (BT's UK IP Network - AS2856)
3209,Vodafone Germany
3212,Telemach Slovenia
3215,Orange France
3216,VimpelCom
3249,Telia Eesti
3269,Telecom Italia S.p.a.
3300,British Telecom GIIB
3301,Telia Sweden
3302,Retelit S.p.A.
3303,Swisscom
3308,Telia Denmark
3320,Deutsche Telekom
3327,CITIC Telecom CPC Netherlands
3329,VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
3330,eww ag / ITandTEL AS3330
3339,FIBRAWORLD TELECOM S.A.U.
3352,Telefonica de España
3356,Lumen AS3356
3462,HiNet
3737,PenTeleData
3748,Electronics and Telecommunications Research Institute
3816,COLOMBIA TELECOMUNICACIONES S.A. ESP
3848,WorldLinx Telecommunications Inc.
4058,CITIC Telecom International CPC Limited
4134,China Telecom
4181,TDS Telecom
4230,Claro
4540,Sogetel
4581,Socket Telecom LLC
4637,Telstra (International)
4638,Telecom Fiji AS4638
4651,NT(CAT) IIG
4725,Softbank Corp. (former Japan Telecom)
4760,HKT Limited
4761,Indosat Ooredoo
4766,KT Corporation (Korea Telecom)
4775,Globe Telecom
4780,New Century InfoComm Tech Co.Ltd.
4782,Chunghwa Telecom Co. AS4782
4788,Telekom Malaysia Berhad (TM)
4800,Lintasarta
4804,Optus Internet
4808,China Unicom Beijing Province Network
4809,China Telecom / CN2
4811,China Telecom (Group)
4812,China Telecom (Group)
4816,CHINANET-IDC-GD
4817,SIMBA Telecom
4818,DiGi Telecommunications Malaysia
4821,Sinergi Semesta Telematika
4835,China Telecom (Group)
4837,China Unicom
4922,Shentel Service Company
4983,Intel Corporation
5384,EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC
5391,Croatian Telecom
5400,BT
5410,Bouygues Telecom ISP
5416,Batelco
5432,Proximus
5467,MIPT-Telecom
5483,Magyar Telekom plc.
5518,Telia Latvija SIA
5523,CREDO-TELECOM
5547,Orient-Telecom
5573,PJSC Rostelecom
5588,T-Mobile CZ AS5588
5602,Retelit S.p.A. (formerly KPNQwest Italia)
5603,Telekom Slovenije
5606,GTS Telecom
5607,Sky Broadband
5617,Orange Polska - TPNET
5639,Telecommunication Services of Trinidad and Tobago
5713,Telkom SA
6057,ANTEL
6147,Telefonica Del Perú
6181,Cincinnati Bell Telephone
6306,Telefonica Venezolana C.A.
6327,Shaw Cablesystems
6368,Northwestern Indiana Telephone Co.
6400,Claro Dominicana
6407,Primus Telecommunications Canada Inc
6412,Zajil International Telecom Company K.S.C.C
6471,entel Chile Servicios Fijos
6503,Axtel S.A.B. de C.V.
6535,Telmex Servicios Empresariales AS6535
6559,State of NC - State Telecommunications Services
6568,Entel S.A. - EntelNet
6648,Bayan Telecommunications Inc.
6663,Türk Telekom International
6697,Beltelecom
6700,BeotelNet-ISP
6703,PRIVATE JOINT-STOCK COMPANY 'FARLEP-INVEST'
6713,MAROC TELECOM
6730,Sunrise GmbH
6752,ANDORRA TELECOM
6758,Monaco Telecom
6762,Telecom Italia Sparkle
6769,Kertinis valstybes telekomunikaciju centras
6775,Fink Telecom Services GmbH
6805,Telefónica Germany GmbH & Co. OHG
6810,Bezeq
6821,Makedonski Telekom
6823,3C1B Telekom
6848,Telenet
6849,Ukrtelecom
6855,Slovak Telekom/T-Mobile CZ
7004,CTC Transmisiones Regionales S.A.
7015,Comcast - New England
7057,MNSI Telecom
7063,LESTE FLU SERVIÇOS DE TELECOM
7303,TELECOM ARGENTINA
7418,Movistar ISP
7438,Telefonica Mexico (Movistar)
7474,SingTel Optus
7516,Tohoku Intelligent Telecommunication
7545,TPG Telecom
7552,Viettel
7602,Saigon Postel Corp.
7616,JasTel Network
7643,Vietnam Posts and Telecommunications (VNPT)
7713,Telekomunikasi Indonesia Int (TELIN)
7727,HONDUTEL (Honduras)
7794,Execulink Telecom
7849,Crocker Communications Inc
7922,Comcast
8014,Bahamas Telecommunications Company LTD.
8103,Florida Department of Management Services - Division of Telecommunications
8151,Uninet S.A. de C.V.
8163,Metrotel SA ESP
8193,'Uzbektelekom' Joint Stock Company
8194,LVRTC Network
8234,RAI RadioTelevisione Italiana
8244,TELECOM ITALIA SPARKLE S.p.A.
8251,NFX z.s.p.o. (FreeTel s.r.o.)
8280,Synapsecom Telecoms S.A.
8301,Gibraltar Telecom
8304,Ecritel
8334,LLC SETEL
8345,JSC 'ER-Telecom Holding'
8346,SONATEL DAKAR
8359,Mobile TeleSystems PJSC
8368,DSTNY
8374,Polkomtel
8375,Telehouse Deutschland GmbH
8393,ASTEL JSC
8400,TSSRB - Telekom Srbija
8402,Corbina Telecom
8412,Magenta Telekom
8414,International Telecommunication Union
8422,NetCologne
8427,Joint Stock Company TransTeleCom
8439,PJSC Rostelecom
8443,PJSC Rostelecom
8447,A1 Telekom Austria AG
8452,Telecom Egypt
8487,Phibee Telecom
8529,Zain Omantel International
8544,PrimeTel Telecom
8562,A1 Telekom Austria AG
8570,PJSC Rostelecom
8580,MTS PJSC
8585,Crnogorski Telekom a.d.Podgorica
8615,Central Telegraph
8661,Posta dhe telekomi i Kosoves
8675,PJSC Rostelecom
8697,Jordan Telecommunications
8711,JSC Avantel
8717,A1 BG EAD
8720,Aspan telecom
8732,COMCOR
8764,Telia Lietuva AB
8767,M-net
8781,Ooredoo Qatar
8814,Aztelekom LLC
8821,WWZ Telekom
8847,Telecomm Technology
8881,1&1 Versatel Deutschland
8887,TESATEL s.r.o.
8926,Moldtelecom
8966,Etisalat
9000,Eser Telekom Sanayi ve Ticaret A.S.
9038,Umniah Mobile Company
9066,EWE TEL SO
9121,Turk Telekom
9125,Orion Telekom
9145,EWE TEL
9146,BHTelecom
9158,Telenor Denmark
9198,Kazakhtelecom
9231,China Mobile Hong Kong
9246,GTA/Teleguam Holdings LLC
9249,Telecom Vanuatu
9299,Philippine Long Distance Company
9318,SK Broadband
9329,Sri Lanka Telecom
9341,Indonesia Comnets Plus AS9341
9444,PCCW Mobile
9498,Bharti Airtel Limited
9506,Singtel Fibre Broadband
9519,Vertical Telecoms Pty Ltd
9614,OCT
9644,SKTELECOM-NET-AS-KR
9658,Eastern Telecommunications Philippines Inc.
9664,Auk Telecom(SG)
9674,Far EastTone Telecommunication Co. Ltd.
9694,Seokyung Cable Television Company
9781,GCS-AS-KR-KR
9808,China Mobile Communications Group Co. Ltd.
9829,National Internet Backbone India
9848,Sejong Telecom
9873,LAOTELECOM
9908,Hong Kong Cable Television Limited
9924,Taiwan Fixed Network
9931,NT(CAT) Corporate Internet
9934,Mongolia Telecom
9988,Myanma Posts and Telecommunications (MPT)
10002,Igaueno Cable Television Co.Ltd.
