ASN,Report count,Organization
16509,8784482,Amazon.com
136907,3779251,Huawei Cloud Global
398324,2442587,Censys
6939,1846691,Hurricane Electric
14618,1758107,Amazon AES
45102,1656228,Alibaba
8075,1537230,Microsoft
14061,1507136,DigitalOcean
135377,1502078,UCloud Information Technology (HK) Limited
396982,1489950,Google Cloud
211298,1309876,Driftnet Ltd
213412,1170887,ONYPHE SAS
55990,916519,Huawei Cloud(China)
51396,915626,Pfcloud UG
16276,896968,OVHcloud
398705,748302,Censys Inc.
13335,739701,Cloudflare
45899,653341,VNPT
4134,516237,China Telecom
132203,510774,Tencent Global
50360,446764,4vendeta
211736,445282,FOP Dmytro Nedilskyi
63949,445227,Linode AS63949
202425,395100,IP Volume
4837,358330,China Unicom
36183,340722,Akamai Technologies Inc.
398722,314948,Censys Inc.
36352,308801,ColoCrossing
201814,288049,Mevspace
906,281725,DMIT Cloud Infrastructure
174,276907,Cogent Communications Inc.
21859,275034,Zenlayer Inc
24940,273111,Hetzner Online
215925,266544,VPSVAULTHOST
55960,263064,Beijing Guanghuan Xinwang Digital
9829,254965,National Internet Backbone India
9808,228391,China Mobile Communications Group Co. Ltd.
214295,221625,SKYNET NETWORK LTD
47890,221441,UNMANAGED LTD
207812,216992,DM AUTO EOOD
32934,211057,Meta
49870,209584,Alsycon AS49870
37963,202665,Alibaba (China)
13238,199832,Yandex
212512,197032,Detai Prosperous Technologies Limited
401120,192849,
2200,183847,RENATER
51167,149826,Contabo
20052,146606,ARBOR
135629,145838,Ningxia West Cloud Data Technology Co.Ltd.
4766,144322,KT Corporation (Korea Telecom)
209605,139996,UAB Host Baltic
10439,137203,CARI.net - Fiber Alley Data Centers
45090,136881,Tencent-CN
49581,123185,Tube-Hosting
3462,122419,HiNet
139341,118145,ACE CDN
12389,114138,Rostelecom
34224,108017,Neterra
12876,101886,Scaleway
211680,98570,NSEC - Sistemas Informaticos S.A.
52055,96215,
213438,95362,colocatel-inc
3320,95175,Deutsche Telekom
9009,93188,M247 Global
48090,91952,TECHOFF SRV LIMITED
138997,91596,Eons Data
52053,91540,REDHEBERG SAS
206264,87815,Amarutu Technology Ltd.
12989,85420,BlackHOST
7713,84674,Telekomunikasi Indonesia Int (TELIN)
58461,84658,CT-HangZhou-IDC
19318,83301,InterServer
60223,80785,Netiface
214943,79160,
50719,76043,XINON
401116,72855,
4,71520,University of Southern California - AS4
15169,71082,Google LLC
62563,68136,GTHost Canada
211607,66955,Securitytrails LLC
8151,66830,Uninet S.A. de C.V.
8551,63178,Bezeq International
9121,62192,Turk Telekom
12880,62110,TIC AS12880
4812,61418,China Telecom (Group)
150436,60777,Byteplus Pte. Ltd.
23969,60091,NT Broadband ISP
58466,60067,CHINANET Guangdong province network
8452,59010,Telecom Egypt
210558,57732,1337 Services GmbH
209290,56616,
7552,56362,Viettel
9465,55947,AGOTOZ PTE. LTD.
208191,54956,
12145,53418,Colorado State University
51852,51966,Phase Layer Global Networks
36530,51673,FUTURE-LAIN
7922,50836,Comcast
24429,49597,Alibaba Cloud CDN
1267,49026,WINDTRE
8048,46687,CANTV
60068,46589,CDN77
8447,46410,A1 Telekom Austria AG
200350,45319,Yandex Cloud
200391,44848,KREZ 999 EOOD
23470,44677,ReliableSite.Net
202306,43879,HOSTGLOBAL.PLUS
3209,43730,Vodafone Germany
3269,43647,Telecom Italia S.p.a.
137280,42770,Kingsoft Cloud
400161,42765,HAWAIIRESEARCH
12637,42581,Seeweb
17561,41033,LARUS Limited
8412,40565,Magenta Telekom
136180,40241,IPIP-CN
30722,39198,Vodafone Italy
197540,37839,netcup GmbH
17621,36929,China Unicom Shanghai Network
31034,36540,Aruba
3303,36201,Swisscom
57509,35870,L&L Investment Ltd.
53667,34819,FranTech Solutions
18403,34750,FPT Telecom
13213,34355,THG Hosting
40676,34041,Psychz Networks
8560,33801,IONOS SE
3215,32852,Orange France
142002,32495,Scloud Pte Ltd
212238,32442,Datacamp Limited
62240,31381,Clouvider
35916,31338,MultaCOM
59414,31202,cloudscale.ch AG
31898,31156,Oracle Cloud Infrastructure
6186,30341,
63199,30336,CDS Global Cloud Co. LTD
5483,30206,Magyar Telekom plc.
135918,29337,VIET DIGITAL TECHNOLOGY LIABILITY COMPANY
51115,29213,HLL LLC
12555,29134,IMAQLIQ
3352,29008,Telefonica de España
3786,28603,LG Uplus
215540,28600,GLOBAL CONNECTIVITY SOLUTIONS LLP
23724,28567,IDC China Telecommunications Corporation
54994,26927,meteversecloud
58224,26879,TCI
136258,26496,ONEPROVIDER
210006,26202,Shereverov Marat Ahmedovich
215183,25802,
6730,25798,Sunrise GmbH
43260,25632,DGN Teknoloji
200373,25610,3xK Tech
209160,25597,Miti 2000 EOOD
2637,25497,Georgia Institute of Technology
20473,25088,The Constant Company
9299,24918,Philippine Long Distance Company
135905,24780,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
42624,24632,
12874,23697,Fastweb
24560,23625,Bharti Airtel Ltd. Telemedia Services
215476,23287,
142111,23001,Zhejiang Aiyun Network Technology Co Ltd
56046,22994,China Mobile communications corporation
45758,22835,TripleT Broadband(AIS|3BB)
36947,22798,Algeria Telecom
151858,22647,INTERDIGI JOINT STOCK COMPANY
208843,22537,Alpha Strike Labs GmbH
214209,22183,Internet Magnate (Pty) Ltd
270353,22179,Tyna Host - Datacenter no Brasil
1299,21880,Arelion (Twelve99)
4808,21685,China Unicom Beijing Province Network
152672,21653,Aiyun (HK) Network Technology Limited
4713,21638,NTT Communications Corporation (OCN)
701,21382,Verizon
214940,21224,KPROHOST LLC
6805,21082,Telefónica Germany GmbH & Co. OHG
48693,21006,Rices Privately owned enterprise
29484,20811,Ruhr-Universitaet Bochum
24757,20636,Ethio Telecom
44477,20622,
1103,20583,SURF
36007,20530,Kamatera Inc.
35042,20276,Layer7 Networks GmbH
211590,20196,Bucklog SARL
17557,20185,PTCL
34665,20055,PIN Datacenter
31662,19804,aurax connecta ag
29447,19753,Iliad Italia
2856,19551,BTnet (BT's UK IP Network - AS2856)
14956,19413,ROUTERHOSTING
40021,19238,Contabo USA
32475,19189,Internap Holding LLC
5617,19106,Orange Polska - TPNET
4760,18975,HKT Limited
